Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7
Beta_2.05,M594,313,205,1,0,0,0,0,12,687,521,167,55,35,30
Beta_2.05,M595,321,215,0,1,0,0,0,5,702,545,167,60,29,28
Beta_2.05,M596,299,212,0,0,1,0,0,5,727,525,198,34,27,28
Beta_2.05,M597,295,202,0,0,1,0,0,8,729,468,230,31,23,27
Beta_2.05,M598,292,211,0,0,0,1,0,9,737,403,273,31,10,29
Beta_2.05,M599,286,212,0,0,0,1,0,9,742,394,266,35,1,27
Beta_2.05,M600,297,210,0,0,0,0,1,3,752,376,247,53,0,12
Beta_2.10,M300,402,20,1,0,0,1,0,16,189,445,374,103,65,41
Beta_2.10,M301,372,18,0,1,0,0,2,12,197,437,364,96,62,25
Beta_2.10,M302,387,15,0,1,0,0,0,24,202,429,377,99,63,28
Beta_2.10,M303,362,14,1,0,1,0,0,30,184,445,377,95,69,34
Beta_2.10,M304,375,15,0,1,1,0,0,35,166,441,391,87,74,38
Beta_2.10,M305,368,12,0,1,0,0,0,32,173,445,426,88,67,43
Beta_2.10,M306,367,14,0,0,1,0,0,43,156,454,422,88,64,49
Beta_2.10,M307,386,19,1,0,1,0,0,46,160,464,429,92,62,57
Beta_2.10,M308,377,15,1,0,0,0,0,48,170,452,406,99,62,62
Beta_2.10,M309,360,13,0,1,0,0,0,48,159,457,387,115,65,70
Beta_2.10,M310,385,23,0,1,0,0,0,50,164,453,381,127,64,76
Beta_2.10,M311,374,24,0,0,1,0,0,49,168,461,372,127,66,83
Beta_2.10,M312,377,23,0,0,0,0,0,48,168,470,376,111,69,92
Beta_2.10,M313,356,26,2,0,0,0,0,37,195,474,375,108,70,99
Beta_2.10,M314,372,24,2,0,0,0,0,22,210,475,372,113,64,106
Beta_2.10,M315,382,23,2,1,0,0,0,17,212,479,360,135,61,119
Beta_2.10,M316,369,25,1,1,0,0,0,14,200,500,346,132,54,128
Beta_2.10,M317,392,29,0,1,1,0,0,20,186,503,369,110,43,117
Beta_2.10,M318,380,29,0,1,0,1,0,21,190,487,365,123,33,140
Beta_2.10,M319,395,28,0,0,1,1,0,25,194,494,337,141,24,133
Beta_2.10,M320,385,32,1,0,0,0,1,23,197,487,346,144,26,109
Beta_2.10,M321,380,27,1,0,0,0,1,15,199,492,354,147,35,59
Beta_2.10,M322,373,20,0,1,0,0,1,8,200,496,355,137,31,102
Beta_2.10,M323,370,20,1,0,1,0,0,11,185,501,349,134,29,141
Beta_2.10,M324,373,16,3,0,1,0,0,13,188,467,362,141,56,104
Beta_2.10,M325,365,13,2,1,0,0,0,17,184,474,346,148,99,55
Beta_2.10,M326,361,15,0,3,0,0,0,12,201,480,335,199,62,37
Beta_2.10,M327,371,19,0,1,2,0,0,6,220,477,383,177,22,36
Beta_2.10,M328,374,16,0,0,2,0,0,8,230,526,356,127,23,35
Beta_2.10,M329,392,14,1,0,0,0,0,21,237,512,342,145,33,33
Beta_2.10,M330,389,20,1,0,0,0,0,21,227,482,339,150,35,32
Beta_2.10,M331,374,19,0,0,0,0,0,26,212,494,365,140,29,30
Beta_2.10,M332,387,24,0,0,0,0,0,20,214,502,350,131,28,29
Beta_2.10,M333,413,25,1,0,0,0,0,13,232,495,349,132,30,27
Beta_2.10,M334,405,26,1,0,0,0,0,10,244,509,348,128,36,26
Beta_2.10,M335,399,26,1,1,0,0,0,19,227,518,356,126,39,25
Beta_2.10,M336,426,28,1,0,1,0,0,24,210,526,374,121,43,25
Beta_2.10,M337,398,30,1,1,1,0,0,26,200,514,392,113,51,25
Beta_2.10,M338,420,30,0,1,1,0,0,18,206,494,407,109,53,25
Beta_2.10,M339,399,25,1,1,1,0,0,9,207,501,397,105,73,25
Beta_2.10,M340,400,34,2,0,0,0,0,5,195,500,386,98,82,27
Beta_2.10,M341,398,31,1,1,0,0,0,5,216,498,376,103,82,29
Beta_2.10,M342,399,33,0,1,1,0,0,5,217,512,390,98,69,32
Beta_2.10,M343,395,40,0,0,1,1,0,5,215,522,382,88,60,32
Beta_2.10,M344,430,22,0,0,1,1,0,4,227,541,382,81,57,27
Beta_2.10,M345,427,29,0,0,0,0,1,12,221,542,368,88,58,8
Beta_2.10,M346,424,27,1,0,0,0,1,15,207,557,351,111,61,9
Beta_2.10,M347,419,33,0,1,0,0,0,14,206,576,350,129,61,13
Beta_2.10,M348,441,39,0,0,0,0,0,13,215,567,347,121,61,17
Beta_2.10,M349,408,36,0,0,0,0,0,10,220,561,337,124,60,25
Beta_2.10,M350,430,46,0,0,0,0,0,12,227,594,322,115,62,29
Beta_2.10,M351,431,35,0,0,0,0,0,14,251,605,296,118,62,36
