Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45
Beta_1.8,u_100,3,77,92,101,149,56,15,5,3,0,1,5,1,0,0,0,0,1,0,0,0,1,0,2,2,1,1,0,0,0,0,0,1,1,1,2,0,2,0,0,2,2,4,0,0,0,0,1,0,2,5,3,5,1,4,2,3,2,2,0,5,4,1,0,3,1,4,4,3,2,3,2,6,9,7,7,6,12,6,12,14,20,40,88,224,267,146,95,55,6
Beta_1.8,u_101,2,63,95,90,131,58,12,2,3,2,1,2,0,1,0,1,0,1,1,2,1,0,2,0,1,2,0,0,0,2,3,3,0,0,1,0,1,0,1,0,0,2,0,1,0,0,0,2,1,3,1,1,0,3,0,2,0,2,3,1,1,3,4,2,4,6,2,7,8,2,2,8,6,7,11,4,8,4,4,10,18,30,34,85,183,276,185,102,50,1
Beta_1.8,u_102,9,66,62,109,134,47,16,5,3,0,2,2,1,0,1,3,3,2,0,0,1,1,1,1,0,1,0,0,0,0,2,0,1,0,1,1,3,1,2,0,1,1,3,1,0,0,0,3,2,1,1,2,1,0,1,4,1,2,2,5,0,0,1,0,1,1,2,3,1,2,3,5,5,6,7,7,5,9,10,16,15,25,34,77,193,278,164,108,56,5
Beta_1.8,u_103,8,69,73,91,131,50,13,6,1,3,2,1,0,1,0,2,2,0,1,0,0,3,1,1,0,1,1,0,1,0,1,1,0,1,1,2,0,0,0,0,2,1,1,1,0,0,0,2,3,2,1,1,4,1,1,0,1,2,2,1,1,1,2,3,1,0,0,5,1,0,2,4,7,2,3,6,5,6,4,8,8,18,46,78,210,290,185,121,69,8
Beta_1.8,u_104,14,63,72,79,132,50,14,4,3,4,0,1,2,1,1,0,2,0,0,0,3,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,2,0,1,0,0,0,0,1,1,3,2,2,0,3,3,0,3,5,4,1,0,0,2,4,4,3,1,3,1,4,3,2,7,7,4,4,6,10,6,3,4,12,29,97,228,292,212,112,48,1
Beta_1.8,u_105,11,91,101,86,98,26,10,9,2,1,1,0,0,0,1,0,0,3,1,2,0,1,1,0,0,2,0,1,1,1,0,0,1,0,2,0,1,0,0,1,2,0,1,0,0,0,0,1,7,2,2,0,2,2,0,4,0,1,2,0,2,3,0,4,3,3,3,5,2,4,5,3,9,5,4,2,5,7,3,10,3,25,40,100,265,310,209,57,33,3
Beta_1.8,u_106,26,76,78,84,108,28,6,3,5,1,0,3,2,0,1,1,0,0,1,1,0,3,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,1,1,4,7,0,2,1,6,2,2,2,5,2,1,5,3,2,1,0,3,2,4,4,3,1,3,3,5,8,8,9,13,30,43,104,214,312,184,65,26,4
Beta_1.8,u_107,13,82,97,76,123,42,6,3,4,2,1,2,0,0,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,1,3,0,0,0,0,3,2,3,1,3,4,6,3,1,3,3,2,2,3,4,1,6,5,4,3,5,2,2,1,5,4,5,7,3,2,5,6,7,5,12,26,105,201,312,172,66,51,9
Beta_1.8,u_108,6,98,59,93,130,49,19,7,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,2,1,1,0,2,0,0,0,1,1,1,1,1,0,1,0,0,1,4,1,2,5,0,2,3,1,1,0,2,0,2,3,2,3,2,3,5,6,5,6,5,2,5,3,2,3,4,6,4,14,6,12,10,27,66,236,281,192,109,36,3
Beta_1.8,u_109,6,71,70,102,124,64,10,7,1,2,4,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,1,2,0,0,0,1,0,0,1,1,0,0,1,7,1,3,1,2,1,2,4,0,1,2,1,0,3,2,7,0,1,1,3,5,3,2,2,3,4,7,6,4,10,6,8,9,11,27,30,67,190,269,174,117,61,1
