Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36
Beta_1.4,u_383,42,97,382,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,2,0,0,1,1,6,2,2,1,3,3,3,3,5,0,5,1,0,1,0,0,2,1,0,3,4,1,1,2,4,1,1,1,5,14,132,734,128,15
Beta_1.4,u_384,38,103,421,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,2,1,0,0,1,9,0,7,3,0,0,0,0,3,0,2,1,2,3,5,0,8,5,1,1,5,0,5,2,0,2,3,2,2,11,128,685,134,6
Beta_1.4,u_385,29,102,450,6,0,1,0,0,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,5,3,1,5,0,1,2,2,2,3,3,3,5,4,0,0,0,0,0,4,1,3,1,5,4,1,4,8,2,4,14,117,691,141,13
Beta_1.4,u_386,24,84,456,12,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,1,1,0,4,4,0,2,0,5,4,0,2,1,1,1,4,3,1,1,4,6,1,0,0,0,1,6,2,18,128,685,156,17
Beta_1.4,u_387,33,69,427,6,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,2,2,0,0,3,3,2,0,3,0,7,3,2,3,1,1,2,5,3,8,20,115,694,162,26
Beta_1.4,u_388,28,79,402,6,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,2,0,0,2,3,2,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,3,3,2,0,5,3,3,2,2,12,7,120,770,166,19
Beta_1.4,u_389,39,63,380,12,0,0,2,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,2,4,0,0,0,0,3,1,0,1,1,1,0,1,2,2,0,1,0,1,0,0,0,2,3,0,3,1,6,2,20,131,789,136,20
Beta_1.4,u_390,32,98,349,5,1,1,0,0,3,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,3,4,2,1,5,0,0,0,0,0,0,1,0,0,1,3,4,1,5,2,0,0,1,2,2,3,2,3,2,2,15,119,814,144,16
Beta_1.4,u_391,43,91,370,12,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,2,3,0,1,2,1,0,1,1,3,1,2,3,3,0,0,0,1,2,2,1,0,0,0,2,5,4,5,0,2,18,124,839,126,5
Beta_1.4,u_392,48,95,358,9,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,4,1,2,2,0,1,0,0,1,1,1,2,0,2,1,1,3,0,2,1,3,6,3,0,1,1,2,1,3,11,127,803,88,8
