Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31
Beta_1.0,u_401,82,206,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,1,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,1,4,1,2,1,1,2,1,25,566,146
Beta_1.2,u_001,73,278,31,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,0,0,0,0,0,1,7,0,0,0,3,0,1,0,0,0,4,0,2,1,0,1,2,1,2,2,5,0,3,4,3,2,15,179,595,59
Beta_1.2,u_002,66,267,28,4,0,0,0,0,0,0,1,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,1,1,2,6,1,1,0,3,0,0,0,0,1,0,4,0,2,0,0,1,0,8,0,2,1,2,2,2,2,13,164,568,66
Beta_1.2,u_003,70,265,19,1,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,3,8,1,0,1,2,0,1,2,2,0,1,3,0,0,1,1,0,0,0,3,1,1,0,0,4,8,10,189,566,63
Beta_1.2,u_004,67,298,14,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,5,1,5,6,0,0,1,1,1,0,1,1,0,1,1,1,1,0,3,2,3,1,0,1,1,5,13,178,571,64
Beta_1.2,u_005,67,340,16,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,5,4,0,1,2,2,0,0,2,4,6,2,0,0,3,0,0,1,1,1,3,0,4,2,5,2,6,16,207,570,56
Beta_1.2,u_006,69,326,26,1,1,1,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,7,1,5,1,1,1,0,1,2,1,2,0,1,2,6,5,4,5,0,2,3,2,2,1,8,19,192,567,36
Beta_1.2,u_007,67,310,24,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,1,0,3,1,0,0,3,1,1,5,0,3,5,2,5,2,2,0,5,4,5,3,0,1,5,3,7,1,14,179,526,62
Beta_1.2,u_008,70,290,24,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,2,0,2,1,2,4,1,0,0,0,2,2,1,0,0,5,4,1,2,4,4,2,3,6,2,3,2,0,6,3,7,15,177,541,42
Beta_1.2,u_009,69,294,24,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,2,0,0,0,2,1,0,0,1,2,1,3,0,2,3,2,0,3,0,2,0,0,0,1,2,2,0,1,1,5,2,1,3,6,5,5,10,11,163,554,48
Beta_1.2,u_010,65,310,28,0,0,0,1,1,0,1,0,2,0,1,1,0,0,0,2,1,0,0,0,0,1,0,2,0,0,2,0,1,4,0,1,0,1,1,2,0,3,1,3,1,1,1,3,1,1,0,0,0,3,2,1,2,1,6,12,132,643,54
Beta_1.2,u_011,57,320,40,1,2,0,2,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,2,0,3,5,0,1,1,0,0,1,0,2,0,1,1,1,1,2,1,3,1,3,2,0,3,2,1,1,1,13,161,637,71
