Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33
Beta_1.2,u_217,47,294,55,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,2,2,6,2,1,0,0,0,0,0,2,2,0,0,1,1,2,0,1,1,2,2,0,1,4,2,2,2,4,2,17,207,613,31
Beta_1.2,u_218,48,270,47,0,0,2,0,0,0,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,4,2,0,1,0,4,2,0,1,0,0,0,0,0,0,0,2,3,0,1,3,2,2,5,1,5,2,0,24,241,570,33
Beta_1.2,u_219,56,285,38,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,6,2,0,1,0,1,2,0,0,0,1,0,3,2,1,0,1,2,1,2,2,1,1,1,5,3,2,4,20,265,547,31
Beta_1.2,u_220,59,268,43,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,5,1,2,0,0,1,1,1,0,1,1,0,1,1,4,0,0,2,1,0,1,6,1,3,3,0,4,2,9,279,539,30
Beta_1.2,u_221,63,258,38,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,12,3,0,1,0,0,2,1,3,1,0,0,2,3,1,1,0,0,3,0,1,0,4,0,2,3,2,4,17,281,497,30
Beta_1.2,u_222,62,305,32,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,1,0,1,3,2,4,2,4,4,5,0,0,0,1,0,0,0,2,0,3,2,0,1,2,1,2,3,2,4,4,3,22,271,499,44
Beta_1.2,u_223,45,318,30,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,1,2,3,1,0,0,0,0,1,2,3,4,1,2,6,3,2,0,1,1,3,1,0,1,4,3,5,0,3,6,25,299,496,35
Beta_1.2,u_224,52,313,33,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,2,0,6,0,0,0,1,0,0,1,1,2,1,0,5,4,3,3,2,2,10,2,5,2,0,1,1,0,23,258,491,40
Beta_1.2,u_225,54,318,35,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,2,0,1,0,3,0,2,0,1,0,0,2,6,0,0,1,2,1,4,4,0,2,1,2,0,1,4,3,2,3,1,11,19,241,511,49
Beta_1.2,u_226,57,310,46,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,2,1,4,0,2,2,0,0,0,2,2,1,0,3,0,1,1,2,6,0,0,0,4,1,3,3,0,4,4,0,18,230,511,50
Beta_1.2,u_227,53,290,53,0,2,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,2,0,2,0,0,2,3,0,3,0,2,0,1,3,1,1,2,3,1,3,0,0,2,3,7,0,0,5,19,213,524,54
Beta_1.2,u_228,52,301,47,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,2,1,0,1,4,2,2,0,0,1,0,1,1,2,1,0,0,3,2,1,4,0,1,1,0,4,1,0,5,1,4,1,13,232,577,39
Beta_1.2,u_229,50,286,55,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,2,8,1,0,0,0,0,0,2,2,0,0,1,0,3,0,1,0,2,2,1,0,4,2,2,4,0,3,3,19,219,607,25
Beta_1.2,u_230,49,271,48,0,0,0,2,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,6,0,0,1,3,2,0,1,0,1,0,0,0,0,0,2,3,1,0,3,1,3,2,2,5,3,2,3,26,230,574,39
Beta_1.2,u_231,52,272,43,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,7,1,0,1,1,2,0,0,0,0,1,1,4,1,0,1,0,1,4,2,0,0,2,3,5,1,4,2,21,245,580,29
Beta_1.2,u_232,59,258,44,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,5,3,0,0,2,0,2,0,0,1,1,1,0,2,1,1,1,0,2,1,3,2,2,2,1,6,3,0,11,278,533,35
Beta_1.2,u_233,69,279,31,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,10,2,0,1,0,0,2,4,0,0,1,2,1,2,3,0,0,1,1,1,0,3,0,2,1,3,2,6,13,296,505,31
Beta_1.2,u_234,64,299,33,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,3,1,0,1,4,4,2,1,8,3,2,0,0,1,0,0,0,2,0,2,1,1,1,3,2,2,2,1,1,5,3,4,20,295,495,44
Beta_1.2,u_235,50,308,35,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,1,2,0,4,0,0,0,0,0,2,3,3,1,1,8,0,4,1,0,1,3,0,1,1,2,4,4,2,0,3,7,26,278,518,33
Beta_1.2,u_236,52,320,34,0,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,2,2,4,1,0,0,0,1,0,1,0,1,2,0,2,5,3,5,0,1,7,4,6,1,2,2,1,0,0,15,263,492,30
Beta_1.2,u_237,51,312,39,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,2,1,1,0,3,0,3,1,1,0,1,4,2,0,0,0,3,3,3,2,3,0,3,0,0,1,4,4,3,1,6,4,20,249,485,42
Beta_1.2,u_238,58,299,40,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,4,3,0,2,0,0,0,1,5,0,2,2,0,0,3,5,2,0,0,1,2,4,3,0,3,3,3,2,26,241,505,36
Beta_1.2,u_239,53,292,50,0,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,2,0,2,0,1,2,0,2,0,0,5,0,3,1,1,1,0,2,2,1,0,5,1,2,3,0,0,2,5,3,1,1,3,32,207,549,61
Beta_1.2,u_240,45,307,45,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,1,0,1,4,3,0,0,0,1,1,0,2,2,0,0,3,3,0,4,2,0,2,0,3,0,2,2,3,3,3,1,18,226,559,36
Beta_1.2,u_241,50,288,61,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,3,5,0,1,0,0,0,2,1,0,0,0,1,2,0,2,0,2,1,0,2,4,3,0,3,3,1,1,6,15,225,593,29
