Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B1_48,B1_49,B1_50,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47,B2_48,B2_49,B2_50
Beta_1.4,u_273,16,61,125,285,19,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,2,7,0,0,4,1,2,1,3,4,1,1,0,1,2,2,4,0,0,0,2,0,1,3,0,2,0,1,0,1,1,0,2,0,0,3,1,3,4,5,2,7,30,152,638,113,39,8
Beta_1.4,u_274,13,61,133,316,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,1,0,0,2,2,6,0,1,0,0,1,1,2,2,1,0,1,0,0,2,4,0,2,1,2,4,4,2,3,0,0,2,2,5,1,1,0,2,1,1,3,1,0,0,1,8,29,161,595,156,36,7
Beta_1.4,u_275,18,50,117,352,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,5,1,1,1,3,0,0,2,4,1,1,0,0,2,0,0,0,1,2,1,3,3,1,0,0,0,0,1,6,2,1,3,0,8,5,3,1,4,1,5,5,24,151,558,153,52,3
Beta_1.4,u_276,8,46,145,363,23,1,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,1,2,1,0,3,1,1,0,1,1,3,2,0,0,1,0,2,2,0,1,1,2,5,2,0,1,1,2,0,0,3,0,1,1,3,3,2,1,1,1,4,15,37,153,593,157,42,6
Beta_1.4,u_277,8,49,107,372,14,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,2,1,0,1,0,2,0,0,1,1,0,2,1,0,3,0,1,1,0,0,3,1,2,3,2,0,1,0,2,2,1,0,1,3,6,2,0,0,2,3,12,27,150,580,168,48,7
Beta_1.4,u_278,13,47,106,348,16,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,2,4,0,0,1,1,1,2,0,1,1,0,4,3,4,2,2,1,2,7,33,153,614,186,39,10
Beta_1.4,u_279,15,51,96,319,15,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,4,2,3,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,2,4,1,2,2,5,0,1,0,3,9,24,146,661,175,28,6
Beta_1.4,u_280,21,44,96,304,17,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,3,4,1,0,0,0,2,0,0,0,2,2,0,0,1,0,0,2,0,1,0,1,1,0,0,1,1,0,0,1,2,0,1,1,3,1,1,0,3,0,3,6,29,166,676,159,34,6
Beta_1.4,u_281,14,52,116,280,18,0,1,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,4,1,3,1,0,1,2,0,0,1,0,1,1,0,0,0,0,1,2,2,2,1,0,3,3,0,0,1,0,3,2,2,1,0,1,0,1,1,1,2,10,23,162,689,162,36,8
Beta_1.4,u_282,16,65,122,276,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,1,0,0,0,2,1,0,3,3,1,1,0,2,1,2,0,0,1,0,1,0,1,1,0,2,1,3,1,2,0,1,5,0,1,4,11,29,158,693,145,30,0
