Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46
Beta_2.20,M518,66,25,62,149,70,12,69,27,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,3,3,2,6,147,97,82,45,112,142,192,162,48,88,109,72,54,48,41,32,13,7,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,7,37
Beta_2.20,M519,71,25,62,143,72,8,62,35,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,3,1,7,2,160,99,86,37,109,149,200,156,53,61,112,76,42,37,57,43,8,6,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,5,5,7,20
Beta_2.20,M520,61,33,48,147,75,9,63,31,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,4,3,3,151,107,92,36,109,134,183,146,51,65,96,78,46,35,35,40,32,12,13,0,0,0,2,0,0,0,0,0,0,0,5,3,4,3,5,5,8,27
Beta_2.20,M521,60,41,42,155,70,14,59,39,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,4,144,103,99,43,93,142,168,152,36,79,72,88,50,44,34,25,11,12,40,0,0,0,1,0,0,4,2,3,2,3,2,3,3,5,5,7,20,0
Beta_2.20,M522,56,36,36,151,76,2,59,38,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,1,4,157,91,118,34,83,154,172,110,77,63,87,71,41,38,44,18,9,14,34,42,5,0,0,2,2,2,2,2,3,2,4,3,5,6,16,0,0,0
Beta_2.20,M523,55,34,39,157,74,3,57,46,1,1,1,0,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,4,159,87,114,41,75,136,185,102,99,57,82,76,38,33,27,32,13,16,63,36,13,2,3,3,2,2,3,3,3,5,5,12,0,0,0,0,0,0
Beta_2.20,M524,55,25,35,158,71,6,58,46,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,146,97,111,48,79,121,195,97,112,58,76,79,34,42,31,27,33,35,70,26,4,3,5,3,3,5,9,2,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M525,49,29,40,167,62,8,58,38,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,45,123,97,129,44,76,129,183,112,123,66,71,83,55,48,47,45,39,28,43,29,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M526,41,32,42,160,57,9,58,45,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,45,122,92,142,37,62,126,182,119,102,127,65,110,42,34,45,46,30,25,37,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M527,33,29,39,162,56,16,57,39,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,4,48,127,81,179,48,57,123,197,120,88,145,61,84,51,40,37,43,27,37,26,5,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
