Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45
Beta_2.20,M389,32,61,264,16,10,69,42,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,2,3,10,9,204,156,96,163,97,76,87,150,133,116,74,102,34,62,69,21,7,12,25,13,16,4,6,6,0,3,2,4,3,2,1,1,5,0,0,0,0
Beta_2.20,M390,27,75,259,13,14,74,41,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,3,11,9,207,149,94,154,99,91,89,148,136,117,73,98,38,44,90,33,15,9,18,18,18,5,0,1,0,2,1,5,1,2,2,1,4,0,0,0,0
Beta_2.20,M391,28,73,264,14,14,76,43,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,4,9,11,215,153,95,156,92,84,95,152,130,118,74,95,31,50,43,77,17,14,7,26,16,3,2,2,0,2,0,0,0,0,5,2,2,3,0,0,0
Beta_2.20,M392,29,76,272,13,10,74,47,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,3,3,2,10,4,222,157,97,143,103,62,103,171,121,126,72,90,41,32,42,78,31,12,6,26,20,5,3,2,0,0,1,0,0,0,0,0,3,5,0,0,0
Beta_2.20,M393,30,62,272,14,9,72,73,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,3,5,6,10,3,205,178,99,131,109,70,89,161,121,140,74,79,45,31,26,36,69,19,7,14,27,13,2,3,1,0,0,0,0,0,0,0,0,2,2,0,0
Beta_2.20,M394,29,64,284,11,8,78,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,2,4,6,12,4,201,176,110,126,88,88,84,168,121,131,73,79,50,43,29,30,64,23,15,5,10,21,9,2,2,0,0,0,0,0,0,0,0,0,1,0,0
Beta_2.20,M395,31,65,274,5,7,83,76,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,6,11,4,184,175,110,90,116,108,84,168,127,110,84,70,48,47,38,21,25,62,15,9,7,10,18,13,1,0,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M396,29,65,278,8,7,84,76,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,4,11,4,172,189,107,70,142,100,98,164,133,123,76,69,46,49,31,20,21,31,56,14,4,6,12,16,13,2,2,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M397,25,63,266,11,7,83,73,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,4,15,4,159,203,99,68,156,83,121,170,136,121,79,76,36,33,31,29,19,27,48,33,8,2,6,11,14,11,1,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M398,27,78,253,11,6,90,78,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,5,145,230,99,55,155,71,107,212,132,138,66,77,38,29,31,26,27,22,29,55,10,1,0,5,7,8,14,0,0,0,0,0,0,0,0,0,0
