Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43
Beta_2.15,M416,34,94,221,36,61,16,72,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,1,4,43,145,135,82,57,67,70,141,208,154,134,61,42,47,35,29,48,43,19,6,5,10,4,4,4,2,2,2,3,0,0,0,0,0,2,0
Beta_2.15,M417,31,99,221,40,66,6,77,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,1,1,6,20,176,141,74,59,64,82,134,203,168,143,53,40,41,37,34,42,44,23,6,5,7,3,3,2,3,2,2,2,3,3,3,1,0,5,0
Beta_2.15,M418,32,84,224,38,62,7,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,3,4,3,6,27,162,151,83,57,65,87,134,198,158,148,51,42,38,31,31,63,36,21,11,8,2,2,3,2,2,2,2,2,2,3,3,5,7,9,0
Beta_2.15,M419,33,76,222,42,67,8,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,3,4,6,9,31,160,138,63,83,67,92,131,196,146,164,43,43,41,30,25,58,40,27,8,6,2,2,3,1,2,1,2,2,2,3,2,4,8,6,0
Beta_2.15,M420,38,70,243,37,70,2,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,3,4,5,7,34,157,140,66,71,52,118,135,196,155,160,59,42,40,31,30,48,39,30,16,5,3,2,2,3,1,1,2,1,2,3,2,4,7,5,0
Beta_2.15,M421,37,60,230,40,68,6,67,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,5,2,4,5,4,30,169,137,72,68,46,107,151,197,147,167,65,38,39,35,28,31,42,34,20,3,4,3,1,2,1,2,1,2,1,2,3,3,9,1,0
Beta_2.15,M422,37,56,249,41,68,9,69,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,5,5,0,5,6,23,176,131,85,72,44,96,147,195,142,171,72,38,42,41,27,25,36,49,10,5,2,3,3,2,1,1,2,1,2,2,2,3,8,0,0
Beta_2.15,M423,41,66,228,51,53,6,72,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,5,7,3,4,7,19,178,124,82,74,54,89,150,191,120,170,92,45,47,48,31,38,30,37,9,6,4,2,2,2,1,1,2,1,1,2,3,3,6,0,0
Beta_2.15,M424,40,55,241,61,53,8,70,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,2,3,3,5,12,194,117,95,68,60,103,147,191,114,140,125,69,45,43,29,30,31,33,10,10,4,3,2,1,1,1,2,1,1,2,2,4,4,0,0
Beta_2.15,M425,32,60,231,67,51,6,81,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,15,3,3,3,5,6,199,109,98,66,63,89,164,189,117,115,139,79,49,43,39,29,38,20,11,11,5,4,2,3,2,1,1,1,2,1,2,4,3,0,0
