Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37
Beta_1.95,M467,109,76,87,55,73,126,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,29,173,167,126,142,77,95,74,60,32,53,45,25,34,35,18,13,17,35,116,67,90,2,4,16,0,0,0,0,0
Beta_1.95,M468,103,73,93,45,74,110,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,27,161,165,115,156,79,98,76,61,37,52,51,20,37,32,19,15,14,16,78,87,81,48,4,11,3,0,0,0,0
Beta_1.95,M469,105,70,95,58,81,122,27,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,159,175,106,154,84,87,81,59,36,54,55,17,42,28,24,8,19,17,17,89,93,86,4,8,2,0,0,0,0
Beta_1.95,M470,94,66,91,49,74,127,22,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,28,165,167,112,151,80,82,91,59,34,48,58,25,22,25,29,1,14,20,18,20,110,130,8,6,0,0,0,0,0
Beta_1.95,M471,98,77,72,49,65,139,24,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,20,163,183,109,145,86,82,98,59,37,46,55,29,18,28,28,5,9,18,20,20,23,152,66,3,0,0,0,0,0
Beta_1.95,M472,100,103,49,67,62,136,21,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,23,153,194,104,139,84,82,101,63,39,42,49,39,14,25,31,6,3,18,23,17,20,23,182,8,7,0,0,0,0
Beta_1.95,M473,103,92,58,60,56,144,20,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,19,141,195,107,123,92,80,96,71,38,42,53,37,13,27,29,12,0,11,19,19,22,21,141,45,10,0,0,0,0
Beta_1.95,M474,101,77,54,60,57,130,22,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,17,149,193,109,109,99,78,101,71,42,42,59,37,10,18,26,19,0,4,21,20,23,20,47,140,29,0,0,0,0
Beta_1.95,M475,100,80,66,73,62,133,23,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,21,138,205,115,96,111,82,100,70,46,38,58,48,7,16,28,23,0,3,16,20,27,30,48,92,61,0,0,0,0
Beta_1.95,M476,102,75,67,69,61,147,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,19,130,197,114,98,104,83,99,65,55,41,46,47,20,12,25,28,3,2,12,32,36,34,44,89,96,0,0,0,0
Beta_1.95,M477,95,72,58,68,55,139,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20,130,203,114,97,100,84,99,68,52,40,47,49,27,7,28,39,11,8,13,27,37,38,81,113,15,0,0,0,0
Beta_1.95,M478,89,66,85,69,64,135,24,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,135,202,119,109,90,87,102,65,58,39,53,52,41,12,28,36,17,8,13,21,76,78,44,62,10,0,0,0,0
Beta_1.95,M479,95,58,70,78,67,128,27,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35,135,208,116,119,74,97,102,75,55,48,46,50,47,7,18,31,24,36,53,22,38,43,42,48,5,0,0,0,0
Beta_1.95,M480,106,54,54,72,65,134,23,21,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,50,156,198,129,111,64,108,94,81,57,39,48,60,53,32,63,38,27,15,9,16,27,45,40,40,0,0,0,0,0
Beta_1.95,M481,93,51,71,66,63,130,21,15,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,6,5,27,147,204,126,102,60,112,95,101,69,80,54,61,46,33,14,31,25,16,6,13,24,44,43,31,0,0,0,0,0
Beta_1.95,M482,87,56,61,67,82,110,29,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,1,1,1,4,40,146,213,139,132,77,90,105,100,70,40,39,57,47,38,14,22,20,21,6,11,23,40,46,21,0,0,0,0,0
